"","Methow","Tucannon","John Day","Palouse","Walla Walla","Chelan","Wenatchee","Crab Creek","Yakima"
"1",0.843658536096127,1.16488784458792,1.16128371131326,0.935954808786504,1.31078138857602,1.18485658232971,0.738956092277191,1.83954387426977,1.28215829616494
"2",0.859828008732735,1.77409350616582,1.80105834252338,1.02929883361076,1.48227093390959,1.21897980131616,0.74567184027112,1.89827866061123,1.44766835440068
"3",0.934005379961007,2.31984682070078,2.39832890757698,1.08394186559445,1.58050013041315,1.37271595372825,0.777190774476603,2.15698172234736,1.54247229564105
"4",0.977534328675926,3.78277713106448,4.08096378544641,1.80205316959043,2.77379905056694,1.46104120796945,0.796182083572386,2.3017013403393,2.69414888536303
"5",1.28036806616301,6.89049367645747,7.94277460663514,6.00792038375846,8.31741908472524,2.04667459266364,0.936515236071701,3.20578854322676,8.04411738565074
"6",1.78879894609468,6.47376696387364,7.40613060235247,4.33547233699428,6.29692095779459,2.95349649101722,1.19683771970151,4.47284156397545,6.09425518392767
"7",1.85511603179842,4.65537083874789,5.13025436110983,3.11561295489076,4.69199054554519,3.06662824738722,1.23267703120152,4.62251193928644,4.54538744839857
"8",1.99788289009263,3.52701383128699,3.77940203742128,2.26032679263013,3.47233962238666,3.30685069620169,1.31115841109588,4.93518299333251,3.36831407058397
"9",1.78879894609468,3.52701383128699,3.77940203742128,2.64836365475185,4.03744401766266,2.95349649101722,1.19683771970151,4.47284156397545,3.91369375834956
"10",1.78879894609468,3.52701383128699,3.77940203742128,3.11561295489076,4.69199054554519,2.95349649101722,1.19683771970151,4.47284156397545,4.54538744839857
"11",2.07461700964576,4.05579716445378,4.40596197322639,3.11561295489076,4.69199054554519,3.43420182295588,1.35406532649733,5.09827338309973,4.54538744839857
"12",1.85511603179842,4.05579716445378,4.40596197322639,3.38267552946986,5.05516676391699,3.06662824738722,1.23267703120152,4.62251193928644,4.89588086433743
"13",1.99788289009263,4.34654053994198,4.75541841692728,3.38267552946986,5.05516676391699,3.30685069620169,1.31115841109588,4.93518299333251,4.89588086433743
"14",2.07461700964576,3.78277713106448,4.08096378544641,2.87134509478345,4.35304264048373,3.43420182295588,1.35406532649733,5.09827338309973,4.21827440065384
"15",2.07461700964576,3.78277713106448,4.08096378544641,2.64836365475185,4.03744401766266,3.43420182295588,1.35406532649733,5.09827338309973,3.91369375834956
"16",1.55413784056653,6.07406305307771,6.89642549411466,1.46214629356467,2.22771968699386,2.54440910996648,1.07335071205836,3.91728973201625,2.16711954169484
"17",1.78879894609468,4.98252530254068,5.53125499975993,1.94007711106661,2.98823826609451,2.95349649101722,1.19683771970151,4.47284156397545,2.90110610723579
"18",1.50248245121925,8.2331525222912,9.7056182218454,5.54363808801433,7.77367716407715,2.45233614064287,1.04690389477836,3.78886218568292,7.51939072672015
"19",2.61929659624529,6.47376696387364,7.40613060235247,4.33547233699428,6.29692095779459,4.30747963619809,1.67221956194326,6.17318952956491,6.09425518392767
"20",2.7255494968123,3.28795229214756,3.50017754770451,3.38267552946986,5.05516676391699,4.4722838560856,1.73691418466785,6.36849543096775,4.89588086433743
"21",1.72567462133277,3.28795229214756,3.50017754770451,1.46214629356467,2.22771968699386,2.8448411084095,1.16309956946645,4.32754431552508,2.16711954169484
"22",1.20641722600176,3.52701383128699,3.77940203742128,2.64836365475185,4.03744401766266,1.90761366026832,0.901063841091777,2.9986110519167,3.91369375834956
"23",1.85511603179842,6.07406305307771,6.89642549411466,2.87134509478345,4.35304264048373,3.06662824738722,1.23267703120152,4.62251193928644,4.21827440065384
"24",2.23951897844513,8.70723990875865,10.3395258573228,6.00792038375846,8.31741908472524,3.70402022908363,1.44792257792395,5.43814236330995,8.04411738565074
"25",2.83663438482074,10.1856038637717,12.3505699578811,3.38267552946986,5.05516676391699,4.64285916520353,1.80542721346329,6.56839082372768,4.89588086433743
"26",2.42067033650832,11.1976702345878,13.7541257793828,2.87134509478345,4.35304264048373,3.99480808130782,1.55353134365066,5.79642142433514,4.21827440065384
"27",2.23951897844513,6.89049367645747,7.94277460663514,2.87134509478345,4.35304264048373,3.70402022908363,1.44792257792395,5.43814236330995,4.21827440065384
"28",2.23951897844513,4.65537083874789,5.13025436110983,2.64836365475185,4.03744401766266,3.70402022908363,1.44792257792395,5.43814236330995,3.91369375834956
"29",2.07461700964576,3.78277713106448,4.08096378544641,3.11561295489076,4.69199054554519,3.43420182295588,1.35406532649733,5.09827338309973,4.54538744839857
"30",3.39412310626802,4.05579716445378,4.40596197322639,2.98542471482094,6.35001299420919,8.96830403312655,3.86202810422675,5.46475496991044,5.8364393694447
"31",3.27190732437279,3.78277713106448,4.08096378544641,2.74652477808978,5.94099986909468,8.78496075057478,3.7261033032171,5.28989959368732,5.45075574182929
"32",4.07460323652038,4.59481741069083,4.72202047109722,2.52938137961996,5.55394368440406,9.91265365263362,4.61279069084237,6.40994774667038,5.08695384434874
"33",3.04063316545754,5.54401068894,5.86153778524471,2.52938137961996,5.55394368440406,8.42432582846572,3.46789805756157,4.95424991014015,5.08695384434874
"34",2.93137519215625,5.54401068894,5.86153778524471,3.5351457372508,7.23428473301265,8.24714938841834,3.3454470753337,4.79338901127263,6.67436047708743
"35",3.15410987430615,6.2548071118275,6.74359745708302,3.24774207548073,6.78112048701449,8.60361458621543,3.59475407125916,5.11974085109602,6.24427381405536
"36",3.15410987430615,10.5544949844166,12.5136257807156,4.96754288401973,9.25983105427132,8.60361458621543,3.59475407125916,5.11974085109602,8.61243371207087
