"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"115",15100,8,32200,11.3,74616.67,7.53,7487.5,4.87,62.2,33,146,8.28,363,8.72,5040,11,3410,8.77,2480,14.58,3130,9.59,215,12.08,1420,12.69,272,13.45,1820,9.37,4440,12.3
"116",14000,8,31500,10.9,71145.83,7.51,7487.5,4.9,62.2,33,145,10.09,351,6.91,4880,10.4,3150,8.02,2470,13.97,2890,8.82,223,11.25,1510,10.86,251,11.58,1840,11.86,4490,12.7
"117",13200,8,30300,11.1,85325,8.01,7500,4.93,62.2,33,139,12.43,343,16.16,4690,10.7,2990,9.02,2470,14.78,2710,9.85,218,12.36,1560,18.81,234,19.64,1830,15.21,4720,14
"118",12500,9,29100,11.7,84104.17,8.26,7483.33,5.04,62.2,33,132,16.95,332,17.66,4530,11.2,2950,14,2470,18.39,2750,14.9,215,17.51,1420,19.9,197,20.74,1730,21.95,4770,15.1
"119",13200,9.5,28500,12.3,78345.83,7.89,7491.67,5.09,62.2,33,130,11.96,316,13.06,4610,11.9,3210,15.43,2480,19.38,3020,16.33,189,18.94,1250,16.45,184,17.26,1590,14.53,4540,14.6
"120",13900,9.5,29600,NA,94704.17,7.7,7525,5.06,62.2,33,132,11.96,301,10.8,5110,12.3,3360,11.13,2470,16.37,3070,12,167,14.6,1300,14.58,170,15.37,1460,14.53,4440,14.3
"121",14300,9.5,31000,12.8,104725,8.23,7300,4.98,62.2,33,127,15.48,282,20.38,5430,12.3,3320,12.45,917,17.32,3050,13.35,157,15.96,1390,21.83,160,22.68,1390,19.75,4450,14.6
"122",15000,9.5,32200,13.1,102670.83,8.13,5095.83,5.07,62.2,33,120,14.23,271,16.16,5300,11.9,3410,16.09,948,19.84,3190,16.98,152,19.59,1300,18.81,145,19.64,1370,17.88,4530,15.1
"123",16000,10,33800,13.2,93408.33,8.07,5100,5.11,62.2,33,120,13.35,262,15.39,5270,11.7,3470,14.73,108,18.9,3270,15.63,161,18.24,1190,18.24,131,19.07,1330,16.56,4540,15.3
"124",16700,10,35300,13.2,103825,8.72,5100,5.09,62.2,33,120,15.87,252,16.16,5270,12.2,3580,13.75,955,18.22,3350,14.64,175,17.26,1180,18.81,125,19.64,1290,20.33,4570,15.2
"125",17800,10,36700,13.2,75350,8.55,9516.67,5.09,62.2,33,113,14.23,241,9.39,5250,12.5,3820,15.43,961,19.38,3570,16.33,172,18.94,1250,13.32,97,14.09,1240,17.88,4590,14.6
"126",18300,9.5,38100,12.6,70408.33,8.26,9670.83,5.08,62.2,33,112,11.02,232,8.09,5430,12.3,3750,10.33,934,15.79,3530,11.19,176,13.76,1270,12.07,88,12.82,1190,13.18,4610,13.8
"127",17400,9.5,38400,12.4,81566.67,8.7,9687.5,5.09,62.2,33,113,14.66,225,13.83,5600,11.8,3500,10.59,703,15.98,3260,11.46,174,14.04,1490,17.06,83,17.88,1160,18.52,4600,13.7
"128",16400,10,36900,12.5,73670.83,8.92,9637.5,5.12,62.2,33,111,14.66,215,16.16,5490,11.9,3390,13.75,947,18.22,3080,14.64,178,17.26,2280,18.81,84,19.64,1150,18.52,4530,14.9
"129",15800,10,35400,12.7,79179.17,9.1,5166.67,5.18,62.2,33,108,14.66,204,15.39,5440,12.3,3420,14.49,959,18.73,3060,15.39,165,18,2180,18.24,84,19.07,1130,18.52,4390,15.7
"130",15700,10,34600,13.1,78037.5,9.46,1566.67,5.4,62.2,33,105,15.48,195,17.66,5520,13.1,3590,15.65,112,19.54,3240,16.55,162,19.16,1680,19.9,89,20.74,1090,19.75,4330,15.9
"131",15600,10,34100,13.4,88187.5,9.83,1516.67,5.46,62.2,33,105,16.25,190,21.57,5680,13.7,3970,16.3,107,19.99,3550,17.19,167,19.8,1370,22.66,97,23.52,1030,20.9,4360,15
"132",15400,10,33700,13.2,112037.5,10.22,1512.5,5.54,62.2,33,106,15.48,186,15.39,5960,13.6,4450,16.5,110,20.14,4140,17.4,171,20,1310,18.24,85,19.07,984,19.75,4590,14.2
"133",17400,10,34600,13.2,105950,10.3,1520.83,5.24,62.2,33,128,11.96,186,10.8,6630,13.1,4490,10.86,119,16.18,4430,11.73,190,14.32,1760,14.58,183,15.37,951,14.53,4710,14
"134",19000,10.5,36800,13,106837.5,10.45,1525,5.24,62.2,33,129,13.79,200,15.39,6930,12.6,4370,10.86,2480,16.18,4550,11.73,222,14.32,2410,18.24,286,19.07,949,17.23,4830,15
"135",18400,10,34800,13,94670.83,10.17,1525,5.11,62.2,33,120,14.23,277,16.92,6930,12.5,4330,12.19,2490,17.13,4360,13.08,234,15.69,2930,19.37,204,20.2,1100,17.88,4810,15.5
"136",21200,9.5,36200,12.7,83816.67,10.02,5070.83,4.95,62.2,33,116,16.25,273,21.57,6930,13,4360,15.87,2490,19.69,4320,16.77,232,19.38,2550,22.66,173,23.52,1580,20.9,4790,15.1
"137",23400,9.5,41600,13,98216.67,10.6,7425,5.05,62.2,33,115,16.95,243,16.92,7050,13.9,5150,16.3,2490,19.99,4560,17.19,234,19.8,2180,19.37,162,20.2,1460,21.95,4750,15.2
"138",20900,10,42800,13.3,94645.83,10.71,5050,5.16,62.2,33,114,16.95,240,21.57,7960,14.4,6300,13.24,2500,17.86,4680,14.13,238,16.75,1940,22.66,156,23.52,1780,21.95,4640,16.3
"139",19100,10.5,41600,13.9,102916.67,10.96,1508.33,5.31,62.2,33,105,16.95,349,19.74,8730,14.2,6040,16.71,2480,20.28,4970,17.6,236,20.2,1830,21.38,138,22.22,2080,21.95,4610,16
"140",19000,11.5,42700,14.3,116004.17,11.11,1604.17,5.26,62.2,33,100,17.28,328,22.11,8670,14.5,6080,17.8,2460,21.09,5210,18.69,213,21.3,1600,23.05,133,23.9,1990,22.45,4600,15.4
"141",19100,11.5,42700,14.4,112250,11.29,1662.5,5.3,62.2,33,102,17.89,270,22.62,8670,14.9,6370,17.63,2450,20.97,5540,18.52,189,21.12,1350,23.41,128,24.27,2200,23.36,4740,15.8
"142",19500,12,43200,14.4,108704.17,11.27,1600,5.24,62.2,33,122,18.17,242,22.11,9030,15.5,6420,18.58,2440,21.7,5600,19.47,186,22.08,1170,23.05,153,23.9,2510,23.78,4920,16.1
"143",19700,12,44000,14.8,115741.67,11.55,1500,5.29,62.2,33,111,17.59,234,23.94,9210,15.6,6500,18.43,2440,21.58,5730,19.32,187,21.93,1270,24.37,157,25.24,3460,22.92,5270,16.2
"144",19500,12,45400,15.2,111183.33,11.63,1504.17,5.21,62.2,33,108,17.59,251,22.62,9210,15.7,6710,18.72,2440,21.81,5840,19.61,201,22.22,1460,23.41,155,24.27,4250,22.92,5300,16.6
"145",18400,12,44500,NA,106825,11.61,1500,5.26,62.2,33,103,16.95,270,22.11,9270,15.6,6620,18.28,2440,21.47,5660,19.17,216,21.78,1530,23.05,141,23.9,5440,21.95,5180,16.8
"146",17700,11.5,43600,NA,111404.17,11.87,1504.17,5.21,62.2,33,104,16.25,311,19.74,9290,15,6060,16.5,2440,20.14,5110,17.4,193,20,1590,21.38,115,22.22,4860,20.9,4920,16.9
"147",16600,12,45000,NA,108637.5,11.81,1500,5.31,62.2,33,109,16.25,294,22.11,9040,15.7,5540,16.5,2450,20.14,4570,17.4,185,20,1410,23.05,103,23.9,4090,20.9,4870,17.4
"148",16300,12,47500,15,116370.83,12.13,1500,5.43,62.2,33,103,17.28,278,23.09,8840,15.6,5320,18.13,2300,21.34,4450,19.02,199,21.62,1160,23.75,96,24.61,3490,22.45,4810,18.2
"149",15500,13,44200,15.7,109716.67,12.47,1500,5.43,62.2,33,98,18.69,249,24.32,8560,16.4,5590,19.11,2450,22.14,4790,20.01,179,22.63,1180,24.65,94,25.52,3000,24.54,4580,18.9
"150",15200,13.5,43600,16.3,97479.17,12.31,1500,5.38,62.2,33,97,19.56,231,24.32,8470,16.9,5820,18.43,2450,21.58,5270,19.32,180,21.93,1140,24.65,90,25.52,2660,25.8,4580,18.9
"151",15000,13.5,42900,16.5,104950,12.33,1500,5.39,62.2,33,93,19.36,210,23.53,8360,17,5720,19.11,2450,22.14,5120,20.01,184,22.63,1120,24.07,90,24.93,2320,25.52,4550,18.4
"152",15200,14,45800,16.4,95150,12.78,1504.17,5.3,62.2,33,102,18.44,197,22.62,8090,17.4,5090,19.11,2430,22.14,4590,20.01,183,22.63,1180,23.41,92,24.27,2160,24.17,4560,17.8
"153",15700,13.5,45500,16.2,79991.67,12.79,1500,5.3,62.2,33,110,16.25,190,20.38,7620,17.4,4960,18.43,2430,21.58,4310,19.32,174,21.93,1240,21.83,113,22.68,2140,20.9,4570,17.1
"154",16800,12.5,45900,15.8,81233.33,12.63,1500,5.29,62.2,33,112,16.25,179,19.07,7750,17,4790,16.9,2460,20.42,4040,17.79,183,20.39,1350,20.91,117,21.75,2000,20.9,4570,16.8
"155",14200,13,43900,15.8,98108.33,13.04,4295.83,5.22,62.2,33,102,16.61,173,19.07,7920,16.7,4200,15.65,2440,19.54,3640,16.55,183,19.16,1430,20.91,98,21.75,2130,21.44,4600,17.1
"156",12500,14.5,38800,16.4,114512.5,12.95,2200,5.38,62.2,33,95,18.17,215,23.53,7590,17.2,3820,17.8,2410,21.09,3380,18.69,161,21.3,1180,24.07,79,24.93,2600,23.78,4760,18.6
"157",11800,16,35900,17.4,100441.67,13,2200,5.39,62.2,33,88,19.15,215,24.32,7260,18.1,3670,19.46,2370,22.45,3360,20.36,148,23,928,24.65,63,25.52,2280,25.21,4640,19.5
"158",11500,17,36900,18.3,110041.67,13.15,2200,5.42,62.2,33,84,19.91,179,25.54,6710,20,3780,20.38,131,23.32,3580,21.29,138,23.98,820,25.58,53,26.48,1970,26.3,4560,20
"159",11100,18,37200,19.1,119408.33,13.68,4500,5.27,62.2,33,82,20.48,156,26.39,6260,21.6,3840,20.72,1640,23.68,3810,21.64,152,24.35,776,26.28,53,27.19,1740,27.1,4390,20.6
"160",10700,18.5,37100,19.9,97254.17,13.45,4500,5.29,62.2,33,78,20.35,140,26.01,5930,22.3,3690,20.65,1850,23.61,3820,21.57,120,24.28,791,25.96,51,26.86,1550,26.92,4380,20.4
"161",10300,19,34700,20,98337.5,13.32,3108.33,5.7,62.2,33,77,19.74,122,26.01,5560,22.7,3420,20.59,2400,23.54,3580,21.51,105,24.21,783,25.96,39,26.86,1360,26.06,4410,19
"162",9620,18.5,33500,19.9,102350,13.31,3120.83,5.76,62.2,33,75,19.36,111,25.54,5130,22.8,3090,20.52,2410,23.47,3260,21.44,98,24.14,701,25.58,33,26.48,1210,25.52,4560,18.7
"163",8540,19,32600,19.9,106208.33,13.27,3108.33,5.77,62.2,33,72,18.93,103,23.09,4750,21.9,2860,19.35,2400,22.35,3000,20.25,109,22.88,689,23.75,28,24.61,1070,24.89,4570,18.3
"164",7770,18.5,29400,19.2,101141.67,13.37,2900,5.72,62.2,33,70,16.61,94,16.92,4260,20.8,2610,16.09,2400,19.84,2680,16.98,120,19.59,664,19.37,24,20.2,983,21.44,4490,18.1
"165",7060,18,27200,18.8,98220.83,13.55,2904.17,5.79,62.2,33,70,17.28,89,21.57,3930,20.2,2330,16.71,2400,20.28,2330,17.6,135,20.2,677,22.66,24,23.52,903,22.45,4410,17.9
"166",6430,18,26400,18.9,118208.33,14.31,2904.17,5.81,62.2,33,70,18.44,86,22.62,3690,20.1,2100,17.8,2390,21.09,2090,18.69,131,21.3,830,23.41,34,24.27,829,24.17,4420,18.1
"167",5970,18,24600,19.4,93170.83,14.39,3000,5.79,62.2,33,66,19.15,82,23.94,3480,20.8,1930,19.11,1670,22.14,1950,20.01,125,22.63,826,24.37,31,25.24,763,25.21,4530,18.4
"168",5640,19.5,23300,20,88970.83,14.42,5300,5.36,62.2,33,64,19.56,84,23.09,3330,21.6,1850,20.23,931,23.16,1920,21.13,115,23.81,787,23.75,24,24.61,691,25.8,4510,18.5
"169",5380,19.5,22100,20,89841.67,14.32,5300,5.29,62.2,33,61,19.56,73,25.28,3170,22,1790,19.97,919,22.91,1880,20.87,140,23.53,740,25.38,22,26.26,634,25.8,4470,18.9
"170",5090,20,21900,20,74470.83,14.22,5304.17,5.34,62.2,33,61,19.15,66,20.99,2960,21.8,1720,19.57,934,22.54,1820,20.47,120,23.11,701,22.26,20,23.11,575,25.21,4370,18.7
"171",4830,20,21400,20.2,79312.5,14.12,5300,5.28,62.2,33,61,18.17,60,20.38,2820,21.7,1620,16.71,939,20.28,1720,17.6,123,20.2,682,21.83,19,22.68,523,23.78,4380,18.7
"172",4590,20.5,20800,20.1,72700,14.17,5300,5.3,62.2,33,63,18.44,56,23.53,2670,21.3,1540,18.28,529,21.47,1620,19.17,123,21.78,713,24.07,21,24.93,477,24.17,4370,18.6
"173",4330,20.5,20300,20.3,88258.33,14.52,5300,5.28,62.2,33,64,18.93,54,22.62,2600,21.3,1440,18.58,1660,21.7,1510,19.47,128,22.08,724,23.41,24,24.27,449,24.89,4390,18.5
"174",4100,21,20100,20.5,79650,14.92,7391.67,5.26,62.2,33,61,19.36,54,22.11,2400,21.8,1360,19.11,1610,22.14,1420,20.01,137,22.63,709,23.05,23,23.9,428,25.52,4390,18.9
"175",3890,21,20200,20.5,79679.17,15,7416.67,5.26,62.2,33,60,19.36,49,25.54,2220,22.2,1300,19.88,1090,22.82,1370,20.78,137,23.43,710,25.58,18,26.48,395,25.52,4390,19
"176",3710,22,18800,20.9,103970.83,15.3,8683.33,5.24,62.2,33,60,19.91,44,24.99,2130,22.9,1240,19.35,1050,22.35,1350,20.25,145,22.88,620,25.15,15,26.03,380,26.3,4450,19.8
"177",3540,23,17800,21.5,121883.33,15.66,8591.67,5.28,62.2,33,57,20.71,41,26.55,2090,23.9,1200,20.45,1860,23.4,1360,21.37,157,24.06,666,26.42,14,27.34,359,27.41,4440,21
"178",3380,24,19900,22.1,108716.67,15.6,11950,5.25,62.2,33,55,21.07,39,27.06,2030,24.9,1180,20.99,2460,24,1420,21.91,150,24.66,746,26.89,11,27.82,338,27.89,4440,21.7
"179",3220,25.5,18700,22.7,105900,15.67,13120.83,5.29,62.2,33,52,21.49,38,27.06,1990,25.8,1160,21.2,2470,24.28,1490,22.14,130,24.91,790,26.89,11,27.82,315,28.42,4450,21.2
"180",3070,26,18300,22.9,108525,15.81,13116.67,5.32,62.2,33,51,21.22,35,27.16,1950,26.2,1150,21.34,3560,24.47,1590,22.28,129,25.08,820,26.98,11,27.91,292,28.08,4460,21.5
"181",2940,26,18300,23.1,118554.17,15.84,9600,5.34,62.2,33,50,20.99,36,26.39,1920,26.5,1190,20.88,3270,23.88,1710,21.81,128,24.54,843,26.28,18,27.19,283,27.79,4450,22.1
"182",2870,26,19000,23.1,112833.33,16.07,9591.67,5.36,62.2,33,48,20.81,32,26.55,1930,26.6,1140,20.77,2790,23.75,1630,21.7,141,24.42,805,26.42,16,27.34,260,27.55,4470,22.2
"183",2730,26.5,17400,23.5,103608.33,15.97,5437.5,5.47,62.2,33,46,20.91,33,26.39,1870,26.4,1060,20.72,2550,23.68,1500,21.64,140,24.35,735,26.28,13,27.19,244,27.67,4480,22.1
"184",2560,26.5,16700,23.7,106070.83,15.84,5366.67,5.52,62.2,33,45,20.91,30,27.4,1650,27.1,987,21.08,2460,24.12,1400,22.01,122,24.77,650,27.22,13,28.16,239,27.67,4460,22
"185",2430,26.5,16200,23.8,107291.67,15.89,5366.67,5.55,62.2,33,42,20.99,27,26.95,1530,27.1,922,21.2,2470,24.28,1310,22.14,105,24.91,631,26.78,15,27.71,227,27.79,4430,21.6
"186",2330,26,16500,23.6,106970.83,16.01,5400,5.56,62.2,33,42,20.71,27,25.79,1440,25.6,871,20.94,152,23.94,1230,21.86,105,24.6,598,25.78,13,26.68,214,27.41,4420,21.6
"187",2230,26,15400,23.5,86379.17,15.91,7500,5.48,62.2,33,42,20.48,27,26.39,1380,25.2,823,20.23,1680,23.16,1150,21.13,116,23.81,612,26.28,14,27.19,198,27.1,4430,21.8
"188",2160,26,16100,23.4,84258.33,15.95,7529.17,5.53,62.2,33,43,20.6,26,25.79,1310,25.7,781,20.65,1570,23.61,1080,21.57,114,24.28,617,25.78,11,26.68,183,27.26,4480,21.7
"189",2110,26,18000,23,98233.33,16.07,7529.17,5.51,62.2,33,44,20.81,24,26.55,1230,25.7,753,20.59,3120,23.54,1030,21.51,114,24.21,569,26.42,11,27.34,179,27.55,4470,21.5
"190",2100,25.5,16700,23.1,86825,16.21,9091.67,5.48,62.2,33,43,20.71,24,26.7,1140,26.2,719,20.77,2670,23.75,975,21.7,103,24.42,588,26.55,7.8,27.47,171,27.41,4460,21.6
"191",2020,25,15900,22.7,72470.83,16,12520.83,5.4,62.2,33,44,20.81,22,26.83,1090,26.6,685,21.24,2470,24.33,940,22.18,95,24.96,626,26.67,4.8,27.6,158,27.55,4540,20.5
"192",2080,24,14700,22.4,66937.5,15.94,12250,5.44,62.2,33,54,19.36,20,25.54,1060,26.1,672,21.16,2470,24.23,909,22.1,87,24.87,664,25.58,2.3,26.48,143,25.52,4570,20
"193",2640,23.5,15700,22.2,88416.67,16.18,12575,5.47,62.2,33,56,19.74,17,23.09,1060,25.4,709,18.99,118,22.03,871,19.88,85,22.5,735,23.75,1.4,24.61,132,26.06,4600,19.4
"194",2830,23.5,17500,21.9,96654.17,16.71,10545.83,5.55,62.2,33,54,18.93,16,23.09,1050,25.5,741,19.23,919,22.25,812,20.13,91,22.75,782,23.75,21,24.61,124,24.89,4700,19.4
"195",2570,23.5,15100,22,112266.67,16.87,7550,5.68,62.2,33,56,19.15,16,23.09,1160,25.4,695,19.23,865,22.25,762,20.13,105,22.75,791,23.75,20,24.61,122,25.21,4780,19.5
"196",2470,23.5,16600,22.1,112858.33,17.14,7562.5,5.67,62.2,33,52,19.91,17,24.32,1230,25.3,654,19.11,905,22.14,711,20.01,104,22.63,749,24.65,15,25.52,125,26.3,4750,19.3
"197",2220,23.5,17500,21.8,112420.83,17.17,9112.5,5.66,62.2,33,50,19.15,20,23.53,1120,24.3,614,19.97,1710,22.91,671,20.87,123,23.53,659,24.07,10,24.93,172,25.21,4690,19
"198",2030,23,17200,21.7,110687.5,17.36,9745.83,5.74,62.2,33,51,19.36,19,24.99,1030,23.4,585,18.72,1690,21.81,636,19.61,120,22.22,631,25.15,8.4,26.03,293,25.52,4590,18.8
"199",1900,23.5,18000,21.9,105454.17,17.47,9783.33,5.8,62.2,33,51,19.74,20,24.32,980,23.7,558,19.68,1660,22.64,599,20.58,122,23.22,598,24.65,8.1,25.52,304,26.06,4560,18.9
"200",1820,24,18600,22.2,98354.17,17.72,9833.33,5.79,62.2,33,49,20.35,21,26.01,920,25.1,529,20.38,124,23.32,571,21.29,117,23.98,579,25.96,11,26.86,291,26.92,4520,19.4
"201",1750,24.5,17700,22.7,99150,17.85,9804.17,5.8,62.2,33,47,20.71,18,26.01,884,26.2,507,20.94,1680,23.94,562,21.86,120,24.6,560,25.96,9.7,26.86,254,27.41,4460,19.7
"202",1680,25,18000,22.7,79350,17.45,9870.83,5.88,62.2,33,44,20.22,16,23.94,853,25.7,485,20.65,1710,23.61,564,21.57,103,24.28,574,24.37,6.5,25.24,231,26.73,4360,19.2
"203",1600,24.5,20700,22.5,89412.5,17.82,9858.33,5.88,62.2,33,45,19.15,17,22.11,824,24.9,475,19.78,1710,22.73,559,20.68,93,23.33,593,23.05,1.5,23.9,202,25.21,4370,18.4
"204",1550,24.5,19300,22.3,102195.83,18.26,9845.83,5.9,62.2,33,47,19.15,17,23.09,788,24.7,459,18.99,1710,22.03,533,19.88,93,22.5,617,23.75,0.86,24.61,183,25.21,4320,18.2
"205",1570,24,19300,22.5,110033.33,18.34,7704.17,6,62.2,33,45,19.74,18,24.32,733,24.5,447,19.35,1720,22.35,504,20.25,103,22.88,617,24.65,0.5,25.52,163,26.06,4200,18.5
"206",1700,24,17000,22.9,89954.17,17.85,7795.83,6.04,62.2,33,48,19.36,18,20.38,710,23.4,430,19.57,1710,22.54,484,20.47,121,23.11,635,21.83,0,22.68,141,25.52,4160,18.5
"207",1620,23.5,17400,22.8,80487.5,17.84,9995.83,5.98,62.2,33,50,18.44,17,19.74,713,22.1,421,17.28,110,20.7,487,18.17,117,20.77,659,21.38,0.51,22.22,121,24.17,4120,17.8
"208",1530,22.5,16200,22.1,91762.5,17.96,9900,6.15,62.2,33,50,17.28,16,20.99,712,21.9,413,17.28,1710,20.7,488,18.17,134,20.77,739,22.26,1.5,23.11,113,22.45,4120,17.3
"209",1580,22,15300,21.9,111416.67,18.11,9958.33,6.15,62.2,33,49,17.89,16,22.11,696,22.5,407,17.63,1700,20.97,464,18.52,135,21.12,763,23.05,1.1,23.9,105,23.36,4090,17.8
"210",1880,22,17400,22.4,108645.83,18.53,7758.33,6.22,62.2,33,50,19.56,14,23.53,688,23.5,394,18.72,665,21.81,450,19.61,133,22.22,678,24.07,16,24.93,96,25.8,4190,18.6
"211",1750,23,19000,22.9,101433.33,18.68,7837.5,6.22,62.2,33,46,20.48,13,25.28,682,24.5,377,19.88,576,22.82,453,20.78,127,23.43,612,25.38,9.6,26.26,90,27.1,4220,19.1
"212",1550,24,21500,23.3,101500,18.69,9995.83,6.27,62.2,33,43,20.91,10,26.39,651,25.3,360,20.45,668,23.4,445,21.37,120,24.06,607,26.28,6.5,27.19,90,27.67,4190,19.7
"213",1440,24.5,19400,23.3,93870.83,18.51,10008.33,6.27,62.2,33,42,20.99,8.1,25.79,601,25.1,345,21.03,474,24.06,430,21.96,115,24.71,635,25.78,1.6,26.68,81,27.79,4180,19.8
"214",1360,24.5,19700,23.2,90991.67,18.47,10041.67,6.27,62.2,33,44,20.71,7.7,26.21,613,25,334,21.03,110,24.06,419,21.96,115,24.71,626,26.13,0.17,27.03,73,27.41,4200,19.3
"215",1300,24,19700,22.9,100791.67,18.69,6454.17,6.39,62.2,33,45,20.48,10,25.28,606,25.3,324,20.94,396,23.94,424,21.86,116,24.6,626,25.38,0.03,26.26,62,27.1,4230,18.3
"216",1250,24,17700,22.9,112229.17,18.84,7591.67,6.44,62.2,33,48,20.48,9.2,25.28,580,24.6,315,20.14,462,23.08,418,21.05,109,23.72,635,25.38,1.8,26.26,55,27.1,4230,18
"217",1240,24,17100,23.2,104629.17,18.72,7612.5,6.55,62.2,33,44,19.74,8.1,23.09,561,23.3,310,19.97,596,22.91,411,20.87,116,23.53,664,23.75,0.9,24.61,51,26.06,4110,18.1
"218",1260,23.5,15600,23,109712.5,18.59,7641.67,6.56,62.2,33,48,18.69,8,21.57,541,22.7,304,18.99,501,22.03,402,19.88,128,22.5,612,22.66,0.05,23.52,49,24.54,4080,18.3
"219",1360,23,13000,22.9,106745.83,18.84,5633.33,6.78,62.2,33,48,18.93,11,22.62,534,22.9,302,18.43,501,21.58,396,19.32,141,21.93,602,23.41,0.86,24.27,49,24.89,4070,18.7
"220",1300,23,12600,23,95400,18.93,5700,6.74,62.2,33,47,19.74,11,24.32,517,23.8,299,19.23,504,22.25,400,20.13,148,22.75,664,24.65,0.27,25.52,45,26.06,4020,19.1
"221",1220,22.5,12400,23,102266.67,19.04,5695.83,6.81,62.2,33,48,19.91,9.8,23.53,518,24.1,296,20.06,110,23,394,20.96,151,23.63,725,24.07,1.8,24.93,41,26.3,4040,19
"222",1190,23,12200,22.9,108191.67,19.27,5675,6.82,62.2,33,51,20.35,10,24.32,517,24.3,291,19.35,494,22.35,388,20.25,153,22.88,805,24.65,2.5,25.52,40,26.92,4090,18.9
"223",1210,23.5,12600,23.2,116916.67,19.22,5691.67,6.96,62.2,33,55,20.35,9.9,25.79,514,25,285,20.06,528,23,385,20.96,147,23.63,867,25.78,7,26.68,37,26.92,4140,18.9
"224",1190,24,13800,23.5,117545.83,19.31,5687.5,7.05,62.2,33,52,21.28,10,26.7,496,25.4,281,20.31,497,23.24,390,21.21,148,23.89,876,26.55,15,27.47,32,28.16,4150,19.8
"225",1170,24.5,14800,23.9,129275,19.45,5704.17,7.05,62.2,33,49,20.91,9.2,26.55,476,25.7,276,20.88,488,23.88,394,21.81,156,24.54,834,26.42,15,27.34,30,27.67,4150,20.2
"226",1130,24,13300,23.7,114604.17,19.43,7487.5,7.06,62.2,33,46,20.35,6.8,25.28,477,25.2,268,20.94,666,23.94,397,21.86,143,24.6,744,25.38,5,26.26,27,26.92,4210,19.4
"227",1080,23,13900,23.4,110354.17,19.19,7500,6.91,62.2,33,45,19.15,6.3,22.62,483,23.8,261,19.57,475,22.54,416,20.47,131,23.11,758,23.41,1.1,24.27,28,25.21,4220,18.5
"228",1050,22,12200,22.9,117854.17,19.36,5700,7.3,62.2,33,47,18.44,6.9,20.99,505,23.3,272,17.97,110,21.22,413,18.86,148,21.46,829,22.26,1.8,23.11,29,24.17,4240,17.9
"229",1020,21.5,12000,22.6,127904.17,19.39,5729.17,7.31,62.2,33,49,18.69,6.4,23.09,518,23.3,273,18.28,433,21.47,395,19.17,160,21.78,853,23.75,0.45,24.61,28,24.54,4210,18
"230",1020,21.5,12000,22.5,120808.33,19.34,5700,7.34,62.2,33,48,19.36,6,23.94,647,23.2,262,19.11,475,22.14,380,20.01,169,22.63,782,24.37,7.2,25.24,27,25.52,4150,18.4
"231",1010,21,12500,22.6,125916.67,19.36,5745.83,7.41,62.2,33,45,20.07,5.8,24.99,694,22.7,250,19.97,816,22.91,355,20.87,174,23.53,749,25.15,5.2,26.03,26,26.52,4150,18.8
"232",998,21,12000,22.8,119937.5,19.26,5779.17,7.45,62.2,33,44,19.91,5.3,24.99,621,22.5,242,20.38,965,23.32,354,21.29,186,23.98,730,25.15,4,26.03,22,26.3,4100,18.7
"233",982,20.5,11900,22.5,117850,19.03,5220.83,7.43,62.2,33,44,18.44,4.6,22.62,551,21.1,230,20.14,1240,23.08,354,21.05,183,23.72,744,23.41,0.97,24.27,19,24.17,4010,18.1
"234",961,19.5,11900,21.9,110262.5,19.11,5716.67,7.32,62.2,33,47,17.59,4.5,18.38,541,19.5,234,17.09,1240,20.56,348,17.98,181,20.58,768,20.41,0.21,21.25,19,22.92,4030,17.4
"235",942,18.5,12000,21.5,100925,19.3,5791.67,7.61,62.2,33,49,18.17,4,21.57,526,19,242,16.9,1240,20.42,328,17.79,180,20.39,815,22.66,0,23.52,20,23.78,4010,16.7
"236",955,18,12000,21.4,120762.5,19.4,5154.17,7.64,62.2,33,49,18.93,4.2,22.62,526,18.5,241,17.8,1240,21.09,318,18.69,186,21.3,871,23.41,0.07,24.27,20,24.89,4000,17.3
"237",957,18,11600,21.5,131054.17,19.49,4600,7.67,62.2,33,49,19.56,3.8,22.11,538,19.2,238,17.97,1250,21.22,307,18.86,199,21.46,909,23.05,10,23.9,21,25.8,3940,17.6
"238",947,17.5,12100,21.6,102354.17,19.49,5308.33,7.64,62.2,33,48,19.74,4,23.94,545,19.5,239,19.35,1240,22.35,297,20.25,204,22.88,919,24.37,11,25.24,23,26.06,3920,18
"239",938,18,12300,22,101962.5,19.37,5800,7.6,62.2,33,45,20.07,4.1,24.99,540,19.9,239,19.35,1240,22.35,300,20.25,204,22.88,862,25.15,22,26.03,22,26.52,3960,18.3
"240",920,18,12200,21.9,101541.67,19.34,5800,7.65,62.2,33,44,19.36,5.6,23.94,525,20.1,237,20.59,878,23.54,300,21.51,205,24.21,862,24.37,11,25.24,20,25.52,4170,17.8
