"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"28",9080,3,28200,4.5,133266.67,3.71,1575,5.93,62.2,33,235,4.66,758,2.65,2940,3,995,2.24,2460,3.7,4820,1.45,201,5.44,7520,3.91,954,4.04,2510,5.13,6960,7.5
"29",9020,3,29800,4.3,136250,3.6,1587.5,5.8,62.2,33,226,3.78,755,3.12,2880,2.8,1020,2.07,2460,3.43,4540,1.35,194,5.1,7280,4.55,873,4.69,2670,4.08,6630,7.6
"30",8660,3,30000,4,141316.67,3.58,1595.83,5.76,62.2,33,215,4.06,722,2.99,2800,3,1030,3.39,2460,8.97,4230,3.86,172,5.46,6970,5.84,800,6.35,2680,4.41,6530,7.3
"31",8230,2.5,28500,4,151116.67,3.5,1570.83,5.61,62.2,33,205,3.78,670,2.75,2680,3.1,1040,3.27,2460,8.78,3950,3.73,161,5.29,6640,5.45,740,5.94,2590,4.08,6460,7
"32",7820,2,29600,4,133212.5,3.41,1583.33,5.53,62.2,33,199,4.59,612,2.53,2630,3.2,1050,4.07,2460,9.91,3710,4.61,152,6.41,6350,5.09,693,5.55,2470,4.72,6420,6.9
"33",7850,2,29200,4,128504.17,3.38,1795.83,5.51,62.2,33,201,5.54,572,2.53,2600,3,1050,3.04,2460,8.42,3550,3.47,147,4.95,6100,5.09,759,5.55,2340,5.86,6430,7.2
"34",8080,2.5,28700,4.2,151033.33,3.3,1579.17,5.51,62.2,33,194,5.54,540,3.54,2550,3,1040,2.93,2460,8.25,3450,3.35,145,4.79,5930,6.67,833,7.23,2260,5.86,6570,7.4
"35",8170,3,29600,4.2,147325,3.3,1583.33,5.48,62.2,33,190,6.25,600,3.25,2480,3.2,1020,3.15,2460,8.6,3320,3.59,144,5.12,5800,6.24,899,6.78,2380,6.74,6820,7.5
"36",7940,4,29700,4.4,146395.83,3.23,1562.5,5.55,62.2,33,184,10.55,650,4.97,2450,3.3,1010,3.15,2460,8.6,3260,3.59,145,5.12,5660,8.61,915,9.26,2840,12.51,7250,8
"37",8220,4,31300,4.9,151379.17,3.3,1554.17,5.76,62.2,33,186,13.35,618,8.72,2590,3.6,1050,3.93,2460,9.72,4300,4.45,147,6.21,5640,12.69,924,13.45,3330,16.56,7290,8.6
"38",10700,4.5,32900,5.5,131500,3.28,1862.5,5.8,62.2,33,207,13.35,632,10.8,2800,3.9,1120,4.71,2460,10.7,6500,5.3,150,7.25,6990,14.58,1060,15.37,3330,16.56,7500,9
"39",19400,5,39100,5.8,138425,3.3,1533.33,5.82,62.2,33,266,8.72,802,5.4,3110,4.5,1160,5.81,2460,11.91,7410,6.49,150,8.64,8890,9.15,1460,9.82,3730,9.97,8030,8.8
"40",20700,4.5,43600,5.8,127341.67,3.32,4616.67,5.67,62.2,33,294,9.62,1370,5.4,3830,5.2,1230,4.71,2460,10.7,7430,5.3,148,7.25,9900,9.15,1500,9.82,6380,11.21,8190,8.4
"41",25100,5,49500,5.9,109820.83,3.36,4812.5,5.47,62.2,33,399,9.62,2630,6.91,3790,4.8,1270,5.81,1800,11.91,7010,6.49,147,8.64,9960,10.86,3340,11.58,6040,11.21,8350,8.7
"42",24100,5,51100,5.5,114266.67,3.4,4895.83,5.35,62.2,33,477,9.62,4180,5.4,3680,5.2,1300,6.01,1760,12.11,6680,6.7,145,8.89,10200,9.15,5380,9.82,6230,11.21,8370,8.4
"43",20500,5,48200,5.6,126670.83,3.45,5791.67,5.38,62.2,33,455,11.02,3770,6.91,3640,5.6,1340,6.64,1740,12.73,6170,7.37,145,9.65,10100,10.86,3250,11.58,6090,13.18,8180,8.2
"44",18100,5,45100,5.5,149020.83,3.5,5766.67,5.42,62.2,33,409,9.17,2350,5.4,3700,5.9,1380,6.86,2300,12.94,5890,7.6,143,9.91,9550,9.15,2310,9.82,5400,10.58,8030,8.1
"45",16300,5,42800,5.6,130237.5,3.55,9716.67,5.42,62.2,33,369,9.17,1720,8.09,3700,5.8,1450,6.42,2300,12.52,5820,7.14,140,9.39,8950,12.07,1860,12.82,4800,10.58,7920,8.5
"46",15100,5,41200,5.4,140858.33,3.59,9833.33,5.34,62.2,33,334,7.43,1380,5.87,3790,5.4,1530,7.31,2300,13.35,5700,8.08,134,10.44,8290,9.7,1590,10.39,4340,8.25,7550,8.4
"47",13900,4.5,40100,4.9,145929.17,3.67,9837.5,5.31,62.2,33,305,6.25,1150,4.97,4160,5.2,1560,5.42,2300,11.5,5370,6.07,130,8.16,7780,8.61,1390,9.26,3990,6.74,7400,7.9
"48",12900,3.5,38900,4.5,149991.67,3.73,9908.33,5.32,62.2,33,282,5.89,985,4.56,4280,5.2,1550,5.23,2390,11.3,5010,5.87,130,7.93,7360,8.1,1230,8.72,3700,6.29,7230,7.7
