"","13340000","13334300","12447200","14103000","13341000"
"131",10,13.4,13.7,15,5.46354166666667
"132",10,13.2,13.6,14.2,5.54375
"133",10,13.2,13.1,14,5.24375
"134",10.5,13,12.6,15,5.24270833333333
"135",10,13,12.5,15.5,5.10520833333333
"136",9.5,12.7,13,15.1,4.95416666666667
"137",9.5,13,13.9,15.2,5.04895833333333
"138",10,13.3,14.4,16.3,5.15625
"139",10.5,13.9,14.2,16,5.309375
"140",11.5,14.3,14.5,15.4,5.25625
"141",11.5,14.4,14.9,15.8,5.29895833333333
"142",12,14.4,15.5,16.1,5.24270833333333
"143",12,14.8,15.6,16.2,5.290625
"144",12,15.2,15.7,16.6,5.21354166666667
"145",12,NA,15.6,16.8,5.26458333333333
"146",11.5,NA,15,16.9,5.21354166666667
"147",12,NA,15.7,17.4,5.309375
"148",12,15,15.6,18.2,5.42708333333333
"149",13,15.7,16.4,18.9,5.43229166666667
"150",13.5,16.3,16.9,18.9,5.37708333333333
"151",13.5,16.5,17,18.4,5.38645833333333
"152",14,16.4,17.4,17.8,5.303125
"153",13.5,16.2,17.4,17.1,5.30208333333333
"154",12.5,15.8,17,16.8,5.28645833333333
"155",13,15.8,16.7,17.1,5.21770833333333
"156",14.5,16.4,17.2,18.6,5.38020833333333
"157",16,17.4,18.1,19.5,5.38541666666667
"158",17,18.3,20,20,5.41770833333333
"159",18,19.1,21.6,20.6,5.271875
"160",18.5,19.9,22.3,20.4,5.28541666666667
"161",19,20,22.7,19,5.70416666666667
"162",18.5,19.9,22.8,18.7,5.75729166666667
"163",19,19.9,21.9,18.3,5.771875
"164",18.5,19.2,20.8,18.1,5.72395833333333
"165",18,18.8,20.2,17.9,5.790625
"166",18,18.9,20.1,18.1,5.81354166666667
"167",18,19.4,20.8,18.4,5.79270833333333
"168",19.5,20,21.6,18.5,5.36041666666667
"169",19.5,20,22,18.9,5.29270833333333
"170",20,20,21.8,18.7,5.33541666666667
"171",20,20.2,21.7,18.7,5.28020833333333
"172",20.5,20.1,21.3,18.6,5.303125
"173",20.5,20.3,21.3,18.5,5.28020833333333
"174",21,20.5,21.8,18.9,5.25520833333333
"175",21,20.5,22.2,19,5.25625
"176",22,20.9,22.9,19.8,5.24166666666667
"177",23,21.5,23.9,21,5.278125
"178",24,22.1,24.9,21.7,5.25416666666667
"179",25.5,22.7,25.8,21.2,5.2875
"180",26,22.9,26.2,21.5,5.315625
"181",26,23.1,26.5,22.1,5.33958333333333
"182",26,23.1,26.6,22.2,5.36041666666667
"183",26.5,23.5,26.4,22.1,5.47083333333333
"184",26.5,23.7,27.1,22,5.51979166666667
"185",26.5,23.8,27.1,21.6,5.55208333333333
"186",26,23.6,25.6,21.6,5.56458333333333
"187",26,23.5,25.2,21.8,5.478125
"188",26,23.4,25.7,21.7,5.52916666666667
"189",26,23,25.7,21.5,5.50625
"190",25.5,23.1,26.2,21.6,5.48333333333333
"191",25,22.7,26.6,20.5,5.40104166666667
"192",24,22.4,26.1,20,5.4375
"193",23.5,22.2,25.4,19.4,5.47291666666667
"194",23.5,21.9,25.5,19.4,5.54791666666667
"195",23.5,22,25.4,19.5,5.67708333333333
"196",23.5,22.1,25.3,19.3,5.66979166666667
"197",23.5,21.8,24.3,19,5.66041666666667
"198",23,21.7,23.4,18.8,5.74270833333333
"199",23.5,21.9,23.7,18.9,5.79583333333333
"200",24,22.2,25.1,19.4,5.78854166666667
"201",24.5,22.7,26.2,19.7,5.80208333333333
"202",25,22.7,25.7,19.2,5.87604166666667
"203",24.5,22.5,24.9,18.4,5.87916666666667
"204",24.5,22.3,24.7,18.2,5.90208333333333
"205",24,22.5,24.5,18.5,6
"206",24,22.9,23.4,18.5,6.040625
"207",23.5,22.8,22.1,17.8,5.97604166666667
"208",22.5,22.1,21.9,17.3,6.15104166666667
"209",22,21.9,22.5,17.8,6.15416666666667
"210",22,22.4,23.5,18.6,6.21979166666667
"211",23,22.9,24.5,19.1,6.225
"212",24,23.3,25.3,19.7,6.26666666666667
"213",24.5,23.3,25.1,19.8,6.26770833333333
"214",24.5,23.2,25,19.3,6.27395833333333
"215",24,22.9,25.3,18.3,6.38645833333333
"216",24,22.9,24.6,18,6.44375
"217",24,23.2,23.3,18.1,6.553125
"218",23.5,23,22.7,18.3,6.55729166666667
"219",23,22.9,22.9,18.7,6.77708333333333
"220",23,23,23.8,19.1,6.74166666666667
"221",22.5,23,24.1,19,6.80520833333333
"222",23,22.9,24.3,18.9,6.81666666666667
"223",23.5,23.2,25,18.9,6.95729166666667
"224",24,23.5,25.4,19.8,7.05104166666667
"225",24.5,23.9,25.7,20.2,7.05
"226",24,23.7,25.2,19.4,7.05833333333333
"227",23,23.4,23.8,18.5,6.90833333333333
"228",22,22.9,23.3,17.9,7.30104166666667
"229",21.5,22.6,23.3,18,7.31458333333333
"230",21.5,22.5,23.2,18.4,7.3375
"231",21,22.6,22.7,18.8,7.409375
"232",21,22.8,22.5,18.7,7.45
"233",20.5,22.5,21.1,18.1,7.43229166666667
"234",19.5,21.9,19.5,17.4,7.315625
"235",18.5,21.5,19,16.7,7.60625
"236",18,21.4,18.5,17.3,7.640625
