"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"262",1590,15300,61,22,560,260,1400,374,254,841,31,51,4250
"263",1410,14800,59,23,558,257,1500,365,260,896,21,46,4270
"264",1260,15700,59,24,564,252,1330,367,266,809,16,39,4380
"265",1170,17000,59,23,554,242,1250,409,266,765,13,35,4370
"266",1110,17400,59,26,532,239,1250,422,265,744,12,31,4370
"267",1070,17000,56,28,617,242,1250,405,270,763,11,33,4340
"268",1050,16800,56,25,769,240,1250,394,267,764,12,50,4210
"269",1030,16900,54,23,753,244,1250,415,260,799,12,56,4030
"270",999,15800,58,23,710,245,1250,422,250,798,9.7,63,4030
"271",975,15400,60,23,665,251,1300,405,245,869,12,62,4030
"272",962,14400,62,22,613,251,1340,387,244,965,7.9,57,4020
"273",959,12500,59,20,595,249,1330,388,244,1000,6.5,56,4010
"274",956,13800,60,23,595,248,2460,376,243,845,4.9,58,4020
"275",951,14000,59,27,582,257,2460,355,237,912,6.8,58,4080
"276",947,13900,61,28,565,271,2460,327,248,1040,6.4,63,4090
"277",935,14000,63,28,550,273,2460,294,255,820,9.3,67,4150
"278",930,14200,64,28,548,276,1870,285,255,797,15,69,4250
"279",921,14400,63,29,554,277,1870,277,255,906,17,73,4260
"280",927,14500,61,28,620,282,1860,277,256,840,13,102,4320
"281",960,14700,67,29,657,291,2460,310,255,772,13,156,4400
"282",1090,15100,68,29,665,299,2470,442,251,800,17,172,4850
"283",1120,15100,67,30,683,297,2460,493,260,850,24,176,4770
"284",1070,15000,69,31,713,310,2470,615,266,900,18,182,4540
"285",1120,14100,67,31,724,335,2450,1130,273,980,15,186,4950
"286",1200,13000,66,32,730,345,2460,947,275,1060,18,185,5240
"287",1140,13100,66,33,1060,332,2460,855,262,1660,19,191,5410
"288",1060,13000,68,32,1080,324,2460,782,217,1350,17,191,5360
"289",1010,13000,69,32,1000,320,2460,720,194,2010,16,191,4830
"290",989,13000,69,32,960,317,2460,670,216,2670,33,192,4230
"291",971,13000,70,33,930,318,2460,647,233,2160,37,199,4470
"292",1000,13200,72,33,908,326,2460,670,251,2040,41,201,4720
"293",1300,13500,72,33,892,331,2460,670,271,2260,35,206,4880
"294",1630,13700,72,34,880,327,2460,625,283,2510,36,206,4770
"295",1510,13800,72,36,895,322,2460,596,279,2510,31,206,4700
"296",1310,13700,72,36,900,321,2460,569,267,2340,26,211,4690
"297",1200,13600,73,35,900,319,2460,542,256,2170,25,211,4690
"298",1140,13500,73,36,885,317,2460,527,254,2020,27,216,4690
"299",1150,13400,72,36,883,321,2460,527,262,1780,31,217,4630
"300",1230,13500,73,37,877,325,2460,533,273,1770,32,223,4630
"301",1350,13600,75,38,871,322,2460,534,275,1760,33,227,4630
"302",1330,13600,77,39,867,322,2460,540,271,1630,35,227,4650
"303",1520,13800,78,39,864,326,2460,674,261,1710,44,229,4710
"304",2060,14000,89,41,889,342,2460,4480,256,1520,47,239,4800
"305",6990,14600,126,42,901,544,2460,9350,248,1550,104,257,5090
"306",7750,15200,119,44,1030,617,2460,6900,231,3940,194,270,5500
"307",4900,15400,112,46,2010,524,2460,4910,219,4330,106,270,5240
"308",3610,15200,102,73,1880,475,2460,3640,204,3470,84,282,5030
"309",3090,14800,96,83,1690,447,2460,2910,184,2930,81,284,4950
"310",2770,14700,96,84,1550,429,2460,2490,162,2530,77,292,4860
"311",2550,14600,90,74,1450,418,2460,2200,165,2200,90,297,4800
"312",2380,14400,89,71,1400,412,2460,2140,170,1960,91,297,4820
"313",2360,14400,99,74,1360,410,2460,2260,165,1920,93,297,4810
"314",2870,14500,105,71,1690,408,1800,2140,155,1830,109,290,4780
"315",2840,14500,100,67,1810,400,1760,2000,148,1740,114,286,4760
"316",2570,14500,99,74,1650,392,1740,1930,150,1650,97,290,4750
"317",2480,14300,97,87,1540,387,2300,3030,142,1570,91,301,4760
"318",2570,14200,98,78,1500,505,2300,10900,147,1470,101,303,4840
"319",2760,14200,98,78,1720,702,2300,10500,149,2120,110,307,4800
"320",2710,14300,96,75,2770,717,2300,7660,146,3770,124,310,4720
"321",2570,14100,91,70,2420,763,2390,9960,145,3450,117,305,4640
"322",2760,14300,101,70,2130,897,2420,17800,149,3270,132,303,5210
"323",3620,14800,112,70,2840,802,2450,12800,157,11600,217,313,5320
"324",3000,14500,101,74,3580,721,2300,8830,159,12100,184,323,5120
"325",2600,14200,96,86,2860,637,2450,6570,161,7620,147,325,5150
"326",1970,13800,93,85,2420,604,2450,5310,140,5810,132,331,4910
"327",1630,13300,91,96,2200,605,2450,4580,122,4910,124,377,4650
"328",2040,13100,93,86,2190,617,2450,4040,136,4390,131,417,4650
"329",2330,13300,92,79,2120,605,2450,3550,156,4030,154,392,4750
"330",2160,13800,87,64,1960,527,2450,3150,161,3620,192,334,4810
"331",1340,13900,82,55,1720,475,2450,2850,160,3240,166,316,4640
"332",1020,13100,82,58,1450,450,2450,2600,158,2990,166,328,4390
"333",900,12500,84,60,1370,420,2440,2420,155,2850,180,375,4250
"334",1060,12000,82,62,1240,430,2440,2250,151,2650,177,337,4250
"335",1210,12000,82,65,1120,440,2440,2120,150,2560,175,376,4290
"336",1570,12300,84,64,1090,457,2440,2050,153,2390,180,260,4350
"337",1920,12700,84,67,1150,467,2400,2030,158,2290,180,286,4500
"338",2180,13300,87,68,1310,485,2450,1960,160,2270,149,264,4810
"339",2440,13800,86,67,1510,498,2450,1900,160,2260,150,298,4730
"340",2380,14000,86,69,1610,549,2450,1920,169,2200,166,337,4470
"341",2420,14600,106,84,1620,561,2450,1920,191,2250,199,401,4590
"342",5090,16100,176,95,1570,577,2450,2790,210,2550,1020,449,6730
"343",8490,18400,188,197,1570,789,1870,13200,224,3640,1150,447,7240
"344",8840,19900,212,523,1590,1140,1930,11800,230,11300,1160,516,7450
"345",6940,21000,192,649,2240,1010,2450,8720,228,20400,1090,806,7030
"346",5460,21900,173,578,2460,940,2450,6890,224,17700,851,1010,6230
"347",4850,20200,167,426,2300,923,2450,5910,229,10700,746,1440,6180
"348",4730,20200,157,342,2130,873,2450,5090,224,8310,859,1330,6260
"349",4280,20200,147,325,2000,821,2450,4500,211,7100,755,1200,5660
"350",3970,20200,139,296,1880,795,2450,4070,202,6300,619,1170,5180
"351",3640,18300,133,253,1750,761,2450,3730,197,5730,547,1110,5200
"352",3350,18200,133,216,1690,752,2450,3550,196,5380,516,1020,5560
"353",3640,18300,132,182,1540,750,2450,3310,195,5110,781,1060,7240
"354",3720,19100,128,187,1490,712,2450,3100,191,4810,962,1110,6820
"355",3440,19500,131,207,1500,704,2450,2970,191,4570,821,1880,6490
"356",3360,19300,146,224,1420,705,1470,2850,196,4500,799,1920,7160
"357",3390,19800,144,240,1520,681,1060,2720,199,4350,831,1590,6880
"358",3210,20700,136,245,1500,676,1120,2610,195,4150,745,1510,6500
"359",3060,19500,129,232,1450,654,1290,2460,186,4010,628,1470,6210
"360",2920,18600,124,209,1450,579,1290,2290,177,3740,547,1350,5940
"361",2650,17100,119,195,1400,575,1290,2200,172,3560,477,1200,5650
"362",2330,17900,116,172,1350,620,1290,2130,170,3530,443,1030,5500
"363",2480,18400,113,160,1350,586,1290,2050,169,3520,403,945,5430
"364",2630,20500,109,155,1350,576,1700,1960,168,3570,388,948,5350
"365",2390,20700,101,144,1420,511,2490,1850,165,3480,376,974,5260
